RoomID,Building,Capacity,Features
R101,Main Building,63,Whiteboard;Projector;Lab
R102,CS Building,80,Whiteboard;Projector
R103,Eng Block,80,Whiteboard;Lab
R104,Lab Building,80,Lab;Projector;Whiteboard
R105,Main Building,50,Whiteboard;Projector;Lab
R106,Lab Building,80,Projector;Whiteboard;Lab
R107,Main Building,100,Lab;Projector;Whiteboard
R108,Lab Building,80,Whiteboard;Projector
R109,Eng Block,60,Whiteboard;Projector
R110,CS Building,60,Projector;Whiteboard;Lab
R111,Main Building,60,Whiteboard;Projector
R112,Eng Block,100,Projector;Whiteboard
R113,CS Building,80,Whiteboard;Lab
R114,CS Building,80,Whiteboard;Lab
R115,CS Building,100,Projector;Whiteboard;Lab
R116,Lab Building,100,Lab;Projector;Whiteboard
