RoomID,Building,Capacity,Features
R101,Lab Building,65,Lab;Whiteboard;Projector
R102,Eng Block,60,Lab;Projector;Whiteboard
R103,Eng Block,60,Lab;Whiteboard;Projector
R104,Lab Building,100,Projector;Lab
R105,Eng Block,100,Lab;Projector;Whiteboard
R106,Eng Block,100,Lab;Whiteboard;Projector
R107,Lab Building,60,Lab;Whiteboard
R108,Eng Block,80,Whiteboard;Lab
R109,CS Building,60,Whiteboard;Projector
R110,Main Building,50,Projector;Lab;Whiteboard
R111,Lab Building,80,Lab;Projector
R112,CS Building,50,Projector;Lab;Whiteboard
R113,CS Building,50,Whiteboard;Projector
R114,Eng Block,60,Whiteboard;Lab
R115,CS Building,100,Lab;Whiteboard;Projector
R116,Eng Block,60,Projector;Lab;Whiteboard
